Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
XGBoost,3,0.5,0.5,0.75,0.5,0.5,0.6,0.29166666666666663,0.611111111111111,E_Gaze_and_Pupil
XGBoost,4,0.75,0.7333333333333334,0.8,0.8,0.6666666666666666,0.8,0.7666666666666667,0.8447619047619048,E_Gaze_and_Pupil
XGBoost,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.7333333333333334,0.8345238095238094,E_Gaze_and_Pupil
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,F_Behavioral_and_RT
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.6666666666666666,0.8575396825396825,F_Behavioral_and_RT
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.9553571428571429,F_Behavioral_and_RT
Logistic_Regression,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8267857142857142,F_Behavioral_and_RT
Logistic_Regression,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.6000000000000001,0.723095238095238,F_Behavioral_and_RT
Random_Forest,1,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,F_Behavioral_and_RT
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,F_Behavioral_and_RT
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9436507936507936,F_Behavioral_and_RT
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8267857142857142,F_Behavioral_and_RT
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.5666666666666668,0.6829761904761905,F_Behavioral_and_RT
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,F_Behavioral_and_RT
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,F_Behavioral_and_RT
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9742063492063492,F_Behavioral_and_RT
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6,0.7879761904761904,F_Behavioral_and_RT
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.5333333333333334,0.7563095238095239,F_Behavioral_and_RT
Logistic_Regression,1,0.5,0.5,0.75,0.5,0.5,0.6,0.5833333333333333,0.8662698412698413,G_Behavioral_RT_and_Gaze
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.9061507936507937,G_Behavioral_RT_and_Gaze
Logistic_Regression,3,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.9553571428571429,G_Behavioral_RT_and_Gaze
Logistic_Regression,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8267857142857142,G_Behavioral_RT_and_Gaze
Logistic_Regression,5,0.5,0.4666666666666667,0.6,0.6,0.3333333333333333,0.6,0.5333333333333333,0.7684523809523809,G_Behavioral_RT_and_Gaze
Random_Forest,1,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,G_Behavioral_RT_and_Gaze
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,G_Behavioral_RT_and_Gaze
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9742063492063492,G_Behavioral_RT_and_Gaze
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.7333333333333334,0.8746428571428572,G_Behavioral_RT_and_Gaze
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6000000000000001,0.6014285714285713,G_Behavioral_RT_and_Gaze
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,G_Behavioral_RT_and_Gaze
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,G_Behavioral_RT_and_Gaze
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9742063492063492,G_Behavioral_RT_and_Gaze
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6,0.7879761904761904,G_Behavioral_RT_and_Gaze
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.5333333333333334,0.7563095238095239,G_Behavioral_RT_and_Gaze
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,H_Behavioral_RT_and_Pupil
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.9061507936507937,H_Behavioral_RT_and_Pupil
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666667,0.8873015873015874,H_Behavioral_RT_and_Pupil
Logistic_Regression,4,0.5,0.5333333333333333,0.6666666666666666,0.4,0.6666666666666666,0.5,0.6666666666666667,0.8163095238095238,H_Behavioral_RT_and_Pupil
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8064285714285714,H_Behavioral_RT_and_Pupil
Random_Forest,1,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,H_Behavioral_RT_and_Pupil
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,H_Behavioral_RT_and_Pupil
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9436507936507936,H_Behavioral_RT_and_Pupil
Random_Forest,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.8,0.893095238095238,H_Behavioral_RT_and_Pupil
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6000000000000001,0.723095238095238,H_Behavioral_RT_and_Pupil
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,H_Behavioral_RT_and_Pupil
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5416666666666666,0.7464285714285714,H_Behavioral_RT_and_Pupil
XGBoost,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.8333333333333333,0.9436507936507936,H_Behavioral_RT_and_Pupil
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6000000000000001,0.7329761904761904,H_Behavioral_RT_and_Pupil
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.4,0.6396428571428572,H_Behavioral_RT_and_Pupil
Logistic_Regression,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.8333333333333333,0.9436507936507936,I_Behavioral_RT_and_GazePupil
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.9061507936507937,I_Behavioral_RT_and_GazePupil
Logistic_Regression,3,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.9166666666666667,0.9742063492063492,I_Behavioral_RT_and_GazePupil
Logistic_Regression,4,0.5,0.6,1.0,0.2,1.0,0.3333333333333333,0.8,0.9196428571428572,I_Behavioral_RT_and_GazePupil
Logistic_Regression,5,0.375,0.3,0.5,0.6,0.0,0.5454545454545454,0.5333333333333333,0.7684523809523809,I_Behavioral_RT_and_GazePupil
Random_Forest,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I_Behavioral_RT_and_GazePupil
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.6630952380952381,I_Behavioral_RT_and_GazePupil
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.6666666666666666,0.8575396825396825,I_Behavioral_RT_and_GazePupil
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.8,0.893095238095238,I_Behavioral_RT_and_GazePupil
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.7333333333333334,0.8647619047619047,I_Behavioral_RT_and_GazePupil
XGBoost,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,I_Behavioral_RT_and_GazePupil
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.9061507936507937,I_Behavioral_RT_and_GazePupil
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5833333333333334,0.7880952380952381,I_Behavioral_RT_and_GazePupil
XGBoost,4,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8064285714285714,I_Behavioral_RT_and_GazePupil
XGBoost,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.7514285714285713,I_Behavioral_RT_and_GazePupil
