timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y,used_in_model
1783011675333,4,figure8,,,0.0,0.0,"[0.001052893502964225, 0.0960590983457047, -0.1431590236410014]",0,105.620439589006,252.70107971799052,False
1783011675349,4,figure8,,,0.0,0.0,"[0.001052893502964225, 0.0960590983457047, -0.1431590236410014]",0,105.70819545742083,249.71312603824157,False
1783011675384,4,figure8,,,0.0,0.0,"[-0.0021542010126343603, 0.10152158297451641, -0.13535842944891774]",0,106.13603298488644,243.25788095101393,False
1783011675397,4,figure8,,,0.0,0.0,"[-0.0021542010126343603, 0.10152158297451641, -0.13535842944891774]",0,106.39023914145139,240.76135823593506,False
1783011675434,4,figure8,,,0.0,0.0,"[-0.002358201749818045, 0.09654186550820121, -0.13535854903185543]",0,107.3322805596869,234.01962258471409,False
1783011675446,4,figure8,,,0.0,0.0,"[-0.002358201749818045, 0.09654186550820121, -0.13535854903185543]",0,107.69789432906478,231.9545714304448,False
1783011675462,4,figure8,,,0.0,0.0,"[-0.002358201749818045, 0.09654186550820121, -0.13535854903185543]",0,108.2811245329886,229.02502211057683,False
1783011675478,4,figure8,,,0.0,0.0,"[-0.002358201749818045, 0.09654186550820121, -0.13535854903185543]",0,108.93113350941107,226.14343017591943,False
1783011675501,4,figure8,,,0.0,0.0,"[0.0008610881689024019, 0.10319493127412804, -0.15084460113202078]",0,109.94992839045517,222.1970296419849,False
1783011675509,4,figure8,,,0.0,0.0,"[0.0008610881689024019, 0.10319493127412804, -0.15084460113202078]",0,110.38497846104801,220.67288273428366,False
1783011675525,4,figure8,,,0.0,0.0,"[0.0008610881689024019, 0.10319493127412804, -0.15084460113202078]",0,111.21755745794607,217.96595030514052,False
1783011675543,4,figure8,,,0.0,0.0,"[0.0008610881689024019, 0.10319493127412804, -0.15084460113202078]",0,112.21070454334395,215.03193020077802,False
1783011675569,4,figure8,,,0.0,0.0,"[-0.01206988384693286, 0.09926891865105969, -0.1508446766956918]",0,113.8562078404394,210.71538187546346,False
