Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8261904761904763,B_Reaction_Time_only
XGBoost,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.7333333333333334,0.8761904761904762,B_Reaction_Time_only
Logistic_Regression,1,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.125,0.65515873015873,C_Gaze_only
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.3333333333333333,0.6884920634920635,C_Gaze_only
Logistic_Regression,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5,0.75,C_Gaze_only
Logistic_Regression,4,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.30000000000000004,0.6192857142857143,C_Gaze_only
Logistic_Regression,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.5,0.7250000000000001,C_Gaze_only
Random_Forest,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.875,0.9285714285714285,C_Gaze_only
Random_Forest,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.5,0.7678571428571429,C_Gaze_only
Random_Forest,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5,0.75,C_Gaze_only
Random_Forest,4,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.9,0.925,C_Gaze_only
Random_Forest,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.5,0.7749999999999999,C_Gaze_only
XGBoost,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.875,C_Gaze_only
XGBoost,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.3333333333333333,0.6944444444444444,C_Gaze_only
XGBoost,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5,0.75,C_Gaze_only
XGBoost,4,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.7,0.8392857142857143,C_Gaze_only
XGBoost,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.3666666666666667,0.575,C_Gaze_only
Logistic_Regression,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,1.0,1.0,D_Pupil_only
